version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,student,—,v0+pf0c107a9d7a1+t5b5d7d9985fc,pf0c107a9d7a1,t5b5d7d9985fc,Baseline starter — intentionally broken system prompt (never ask/guess/send immediately/single-step only),N/A — this is the measurement baseline before any changes,case_accuracy,—,0.25,runs/v0_B_base_nvidia_20260729T103728387321.json
v0,student,—,v0+pf0c107a9d7a1+t5b5d7d9985fc,pf0c107a9d7a1,t5b5d7d9985fc,Baseline starter — intentionally broken system prompt (never ask/guess/send immediately/single-step only),N/A — this is the measurement baseline before any changes,tool_routing_accuracy,—,0.70,runs/v0_B_base_nvidia_20260729T103728387321.json
v0,student,—,v0+pf0c107a9d7a1+t5b5d7d9985fc,pf0c107a9d7a1,t5b5d7d9985fc,Baseline starter — intentionally broken system prompt (never ask/guess/send immediately/single-step only),N/A — this is the measurement baseline before any changes,argument_accuracy,—,0.25,runs/v0_B_base_nvidia_20260729T103728387321.json
v0,student,—,v0+pf0c107a9d7a1+t5b5d7d9985fc,pf0c107a9d7a1,t5b5d7d9985fc,Baseline starter — intentionally broken system prompt (never ask/guess/send immediately/single-step only),N/A — this is the measurement baseline before any changes,multiturn_accuracy,—,0.1667,runs/v0_B_base_nvidia_20260729T103728387321.json
v0,student,—,v0+pf0c107a9d7a1+t5b5d7d9985fc,pf0c107a9d7a1,t5b5d7d9985fc,Baseline starter — intentionally broken system prompt (never ask/guess/send immediately/single-step only),N/A — this is the measurement baseline before any changes,provider_error_cases,—,0,runs/v0_B_base_nvidia_20260729T103728387321.json
v1,student,system_prompt.md,v1+pf41421589213+t5b5d7d9985fc,f41421589213,t5b5d7d9985fc,v0 prompt caused missing_info (never clarify) + wrong_boundary (send without confirm) + wrong_tool (single-step only) + out_of_scope (no refuse rule),Rewriting system prompt with tool routing rules + clarify rules + send boundary + multi-step + out-of-scope refusal will fix 15 of 20 failures,case_accuracy,0.25,0.55,runs/v1_B_base_nvidia_20260729T105414704665.json
v1,student,system_prompt.md,v1+pf41421589213+t5b5d7d9985fc,f41421589213,t5b5d7d9985fc,v0 prompt caused missing_info (never clarify) + wrong_boundary (send without confirm) + wrong_tool (single-step only) + out_of_scope (no refuse rule),Rewriting system prompt with tool routing rules + clarify rules + send boundary + multi-step + out-of-scope refusal will fix 15 of 20 failures,tool_routing_accuracy,0.70,0.85,runs/v1_B_base_nvidia_20260729T105414704665.json
v1,student,system_prompt.md,v1+pf41421589213+t5b5d7d9985fc,f41421589213,t5b5d7d9985fc,v0 prompt caused missing_info (never clarify) + wrong_boundary (send without confirm) + wrong_tool (single-step only) + out_of_scope (no refuse rule),Rewriting system prompt with tool routing rules + clarify rules + send boundary + multi-step + out-of-scope refusal will fix 15 of 20 failures,argument_accuracy,0.25,0.55,runs/v1_B_base_nvidia_20260729T105414704665.json
v1,student,system_prompt.md,v1+pf41421589213+t5b5d7d9985fc,f41421589213,t5b5d7d9985fc,v0 prompt caused missing_info (never clarify) + wrong_boundary (send without confirm) + wrong_tool (single-step only) + out_of_scope (no refuse rule),Rewriting system prompt with tool routing rules + clarify rules + send boundary + multi-step + out-of-scope refusal will fix 15 of 20 failures,multiturn_accuracy,0.1667,0.5,runs/v1_B_base_nvidia_20260729T105414704665.json
v2,student,tools.yaml,v2+pf41421589213+t(new),f41421589213,(pending),v1 still fails: screenname passed as full name not handle (R01/M03) + query too verbose (R03/R13) + limit passed as string not integer (R05/M01/M05) + R14 coding still calls tool,Improving tool descriptions (name→handle map + verbatim query rule + integer type enforcement) will fix wrong_arg_value cluster without touching system prompt,case_accuracy,0.55,(pending),runs/v2_B_base_nvidia_(pending).json
v2,student,tools.yaml,v2+pf41421589213+t(new),f41421589213,(pending),v1 still fails: screenname passed as full name not handle (R01/M03) + query too verbose (R03/R13) + limit passed as string not integer (R05/M01/M05) + R14 coding still calls tool,Improving tool descriptions (name→handle map + verbatim query rule + integer type enforcement) will fix wrong_arg_value cluster without touching system prompt,argument_accuracy,0.55,(pending),runs/v2_B_base_nvidia_(pending).json
